stamp,batch,case_id,coord,coord_value,status,last_step,total_steps,last_val_loss,failure_kind,hardware_family,gpuv,matrix_lr_mult,precond_lr_mult,matrix_beta1_om_mult,aux_lr_mult,aux_beta1_om_mult,aux_beta2_om_mult,aux_cooldown_frac,hidden_cooldown_frac
pretraining_psgdh_pcd_1m_r0_20260828_0828,1m,0000_psgdh_core_1m_center_1,center,center,DONE,1625,1625,3.30441,,H20,NVIDIA_H20,1,1,1,1,1,1,0.5,1
pretraining_psgdh_pcd_1m_r0_20260828_0828,1m,0001_psgdh_core_1m_matrix_lr_0p5,matrix_lr,0.5,DONE,1625,1625,3.34926,,H20,NVIDIA_H20,0.5,1,1,1,1,1,0.5,1
pretraining_psgdh_pcd_1m_r0_20260828_0828,1m,0002_psgdh_core_1m_matrix_lr_0p707106781187,matrix_lr,0.707106781187,DONE,1625,1625,3.32009,,H20,NVIDIA_H20,0.707106781187,1,1,1,1,1,0.5,1
pretraining_psgdh_pcd_1m_r0_20260828_0828,1m,0003_psgdh_core_1m_matrix_lr_1p41421356237,matrix_lr,1.41421356237,DONE,1625,1625,3.31665,,H20,NVIDIA_H20,1.41421356237,1,1,1,1,1,0.5,1
pretraining_psgdh_pcd_1m_r0_20260828_0828,1m,0004_psgdh_core_1m_matrix_lr_2,matrix_lr,2,DONE,1625,1625,3.34463,,H20,NVIDIA_H20,2,1,1,1,1,1,0.5,1
pretraining_psgdh_pcd_1m_r0_20260828_0828,1m,0005_psgdh_core_1m_precond_lr_0p5,precond_lr,0.5,DONE,1625,1625,3.31685,,H20,NVIDIA_H20,1,0.5,1,1,1,1,0.5,1
pretraining_psgdh_pcd_1m_r0_20260828_0828,1m,0006_psgdh_core_1m_precond_lr_0p707106781187,precond_lr,0.707106781187,DONE,1625,1625,3.31032,,H20,NVIDIA_H20,1,0.707106781187,1,1,1,1,0.5,1
pretraining_psgdh_pcd_1m_r0_20260828_0828,1m,0007_psgdh_core_1m_precond_lr_1p41421356237,precond_lr,1.41421356237,DONE,1625,1625,3.30604,,H20,NVIDIA_H20,1,1.41421356237,1,1,1,1,0.5,1
pretraining_psgdh_pcd_1m_r0_20260828_0828,1m,0008_psgdh_core_1m_precond_lr_2,precond_lr,2,DONE,1625,1625,3.30853,,H20,NVIDIA_H20,1,2,1,1,1,1,0.5,1
pretraining_psgdh_pcd_1m_r0_20260828_0828,1m,0009_psgdh_core_1m_matrix_beta1_om_0p5,matrix_beta1_om,0.5,DONE,1625,1625,3.31877,,H20,NVIDIA_H20,1,1,0.5,1,1,1,0.5,1
