stamp,batch,case_id,coord,coord_value,status,last_step,total_steps,last_val_loss,failure_kind,hardware_family,gpuv,matrix_lr_mult,precond_lr_mult,matrix_beta1_om_mult,aux_lr_mult,aux_beta1_om_mult,aux_beta2_om_mult,aux_cooldown_frac,hidden_cooldown_frac
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0000_psgdh_core_512k_center_1,center,center,DONE,3250,3250,3.28518,,H20,NVIDIA_H20,1,1,1,1,1,1,0.5,1
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0001_psgdh_core_512k_matrix_lr_0p5,matrix_lr,0.5,DONE,3250,3250,3.29586,,H20,NVIDIA_H20,0.5,1,1,1,1,1,0.5,1
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0002_psgdh_core_512k_matrix_lr_0p707106781187,matrix_lr,0.707106781187,DONE,3250,3250,3.27989,,H20,NVIDIA_H20,0.707106781187,1,1,1,1,1,0.5,1
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0003_psgdh_core_512k_matrix_lr_1p41421356237,matrix_lr,1.41421356237,DONE,3250,3250,3.3143,,H20,NVIDIA_H20,1.41421356237,1,1,1,1,1,0.5,1
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0004_psgdh_core_512k_matrix_lr_2,matrix_lr,2,DONE,3250,3250,3.38342,,H20,NVIDIA_H20,2,1,1,1,1,1,0.5,1
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0005_psgdh_core_512k_precond_lr_0p5,precond_lr,0.5,DONE,3250,3250,3.28737,,H20,NVIDIA_H20,1,0.5,1,1,1,1,0.5,1
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0006_psgdh_core_512k_precond_lr_0p707106781187,precond_lr,0.707106781187,DONE,3250,3250,3.28562,,H20,NVIDIA_H20,1,0.707106781187,1,1,1,1,0.5,1
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0007_psgdh_core_512k_precond_lr_1p41421356237,precond_lr,1.41421356237,DONE,3250,3250,3.28226,,H20,NVIDIA_H20,1,1.41421356237,1,1,1,1,0.5,1
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0008_psgdh_core_512k_precond_lr_2,precond_lr,2,DONE,3250,3250,3.2827,,H20,NVIDIA_H20,1,2,1,1,1,1,0.5,1
pretraining_psgdh_pcd_512k_r0_recovery_20260828_1104,512k,0009_psgdh_core_512k_matrix_beta1_om_0p5,matrix_beta1_om,0.5,DONE,3250,3250,3.30487,,H20,NVIDIA_H20,1,1,0.5,1,1,1,0.5,1
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0010_psgdh_core_512k_matrix_beta1_om_0p707106781187,matrix_beta1_om,0.707106781187,DONE,3250,3250,3.29146,,H20,NVIDIA_H20,1,1,0.707106781187,1,1,1,0.5,1
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0011_psgdh_core_512k_matrix_beta1_om_1p41421356237,matrix_beta1_om,1.41421356237,DONE,3250,3250,3.27835,,H20,NVIDIA_H20,1,1,1.41421356237,1,1,1,0.5,1
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0012_psgdh_core_512k_matrix_beta1_om_2,matrix_beta1_om,2,DONE,3250,3250,3.27741,,H20,NVIDIA_H20,1,1,2,1,1,1,0.5,1
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0013_psgdh_core_512k_aux_lr_global_0p5,aux_lr_global,0.5,DONE,3250,3250,3.29448,,H20,NVIDIA_H20,1,1,1,0.5,1,1,0.5,1
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0014_psgdh_core_512k_aux_lr_global_0p707106781187,aux_lr_global,0.707106781187,DONE,3250,3250,3.28826,,H20,NVIDIA_H20,1,1,1,0.707106781187,1,1,0.5,1
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0015_psgdh_core_512k_aux_lr_global_1p41421356237,aux_lr_global,1.41421356237,DONE,3250,3250,3.27973,,H20,NVIDIA_H20,1,1,1,1.41421356237,1,1,0.5,1
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0016_psgdh_core_512k_aux_lr_global_2,aux_lr_global,2,DONE,3250,3250,3.28096,,H20,NVIDIA_H20,1,1,1,2,1,1,0.5,1
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0017_psgdh_core_512k_aux_beta1_om_0p5,aux_beta1_om,0.5,DONE,3250,3250,3.2842,,H20,NVIDIA_H20,1,1,1,1,0.5,1,0.5,1
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0018_psgdh_core_512k_aux_beta1_om_0p707106781187,aux_beta1_om,0.707106781187,DONE,3250,3250,3.28458,,H20,NVIDIA_H20,1,1,1,1,0.707106781187,1,0.5,1
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0019_psgdh_core_512k_aux_beta1_om_1p41421356237,aux_beta1_om,1.41421356237,DONE,3250,3250,3.28374,,H20,NVIDIA_H20,1,1,1,1,1.41421356237,1,0.5,1
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0020_psgdh_core_512k_aux_beta1_om_2,aux_beta1_om,2,DONE,3250,3250,3.28438,,H20,NVIDIA_H20,1,1,1,1,2,1,0.5,1
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0021_psgdh_core_512k_aux_beta2_om_0p5,aux_beta2_om,0.5,DONE,3250,3250,3.28154,,H20,NVIDIA_H20,1,1,1,1,1,0.5,0.5,1
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0022_psgdh_core_512k_aux_beta2_om_0p707106781187,aux_beta2_om,0.707106781187,DONE,3250,3250,3.28174,,H20,NVIDIA_H20,1,1,1,1,1,0.707106781187,0.5,1
pretraining_psgdh_pcd_512k_r0_20260828_0828,512k,0023_psgdh_core_512k_aux_beta2_om_1p41421356237,aux_beta2_om,1.41421356237,DONE,3250,3250,3.28602,,H20,NVIDIA_H20,1,1,1,1,1,1.41421356237,0.5,1
