aux_beta1_om_mult,aux_beta2_om_mult,aux_cooldown_frac,aux_lr_mult,aux_wd_peak,base_lr_scale,batch,batch_size,best_val_loss,case_id,cluster_name,code_package_id,container_image,coord,coord_value,data_id,failure_kind,gpuv,hardware_family,hidden_cooldown_frac,job_name,job_run_id,last_step,last_val_loss,last_val_step,log_source,matrix_beta1_om_mult,matrix_beta2_om_mult,matrix_lr_mult,matrix_wd_peak,num_val_points,precond_lr_mult,queue_name,recipe,runtime_cuda_driver,runtime_cuda_toolkit,runtime_device_type,runtime_host_ipv6,runtime_host_primary,runtime_node_spec,runtime_node_vendor,runtime_rdma_bigpod,runtime_rdma_minipod,runtime_rdma_switch,seed,shampoo_beta_om_mult,stamp,status,total_steps,train_steps,trial_id,wd_warmup_frac,wrapper_case_id,terminal_evidence,terminal_evidence_host
2,0.5,0.5,2,0,1,128k,131072,3.26353,0000_psgdh_core_128k_center_1,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,center,center,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-pcd-128k-20260828_1857:0000_psgdh_core_128k_center_1,0ee8617749c8a8cf,13000,3.26353,13000,run_dir+merlin_meta,2,1,0.5,0,105,1,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:e0e1:3cef:31c4:9b35,26.129.183.82,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,6b53251fa762c4f795f3846852c46911,fc841bc0a282578f4f0941205987c29c,1,1,pretraining_psgdh_pcd_128k_r2_centered_soil128_20260828_1857,DONE,13000,13000,405535862,0,packed_manifest,,
2,0.5,0.5,2,0,1,128k,131072,3.30689,0001_psgdh_core_128k_matrix_lr_0p5,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,0.25,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-pcd-128k-20260828_1857:0001_psgdh_core_128k_matrix_lr_0p5,0ee8617749c8a8cf,13000,3.30689,13000,run_dir+merlin_meta,2,1,0.25,0,105,1,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:e0e1:3cef:31c4:9b35,26.129.183.82,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,6b53251fa762c4f795f3846852c46911,fc841bc0a282578f4f0941205987c29c,1,1,pretraining_psgdh_pcd_128k_r2_centered_soil128_20260828_1857,DONE,13000,13000,405535862,0,packed_manifest,,
2,0.5,0.5,2,0,1,128k,131072,3.27988,0002_psgdh_core_128k_matrix_lr_0p707106781187,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,0.353553390593,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-pcd-128k-20260828_1857:0002_psgdh_core_128k_matrix_lr_0p707106781187,0ee8617749c8a8cf,13000,3.27988,13000,run_dir+merlin_meta,2,1,0.353553390593,0,105,1,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:e0e1:3cef:31c4:9b35,26.129.183.82,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,6b53251fa762c4f795f3846852c46911,fc841bc0a282578f4f0941205987c29c,1,1,pretraining_psgdh_pcd_128k_r2_centered_soil128_20260828_1857,DONE,13000,13000,405535862,0,packed_manifest,,
2,0.5,0.5,2,0,1,128k,131072,3.2695,0003_psgdh_core_128k_matrix_lr_1p41421356237,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,0.707106781187,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-pcd-128k-20260828_1857:0003_psgdh_core_128k_matrix_lr_1p41421356237,0ee8617749c8a8cf,13000,3.2695,13000,run_dir+merlin_meta,2,1,0.707106781187,0,105,1,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:e0e1:3cef:31c4:9b35,26.129.183.82,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,6b53251fa762c4f795f3846852c46911,fc841bc0a282578f4f0941205987c29c,1,1,pretraining_psgdh_pcd_128k_r2_centered_soil128_20260828_1857,DONE,13000,13000,405535862,0,packed_manifest,,
2,0.5,0.5,2,0,1,128k,131072,3.29884,0004_psgdh_core_128k_matrix_lr_2,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,1,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-pcd-128k-20260828_1857:0004_psgdh_core_128k_matrix_lr_2,0ee8617749c8a8cf,13000,3.29884,13000,run_dir+merlin_meta,2,1,1,0,105,1,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:e0e1:3cef:31c4:9b35,26.129.183.82,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,6b53251fa762c4f795f3846852c46911,fc841bc0a282578f4f0941205987c29c,1,1,pretraining_psgdh_pcd_128k_r2_centered_soil128_20260828_1857,DONE,13000,13000,405535862,0,packed_manifest,,
2,0.5,0.5,2,0,1,128k,131072,3.26061,0005_psgdh_core_128k_precond_lr_0p5,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,0.5,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-pcd-128k-20260828_1857:0005_psgdh_core_128k_precond_lr_0p5,0ee8617749c8a8cf,13000,3.26061,13000,run_dir+merlin_meta,2,1,0.5,0,105,0.5,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:e0e1:3cef:31c4:9b35,26.129.183.82,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,6b53251fa762c4f795f3846852c46911,fc841bc0a282578f4f0941205987c29c,1,1,pretraining_psgdh_pcd_128k_r2_centered_soil128_20260828_1857,DONE,13000,13000,405535862,0,packed_manifest,,
2,0.5,0.5,2,0,1,128k,131072,3.26236,0006_psgdh_core_128k_precond_lr_0p707106781187,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,0.707106781187,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-pcd-128k-20260828_1857:0006_psgdh_core_128k_precond_lr_0p707106781187,0ee8617749c8a8cf,13000,3.26236,13000,run_dir+merlin_meta,2,1,0.5,0,105,0.707106781187,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:e0e1:3cef:31c4:9b35,26.129.183.82,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,6b53251fa762c4f795f3846852c46911,fc841bc0a282578f4f0941205987c29c,1,1,pretraining_psgdh_pcd_128k_r2_centered_soil128_20260828_1857,DONE,13000,13000,405535862,0,packed_manifest,,
2,0.5,0.5,2,0,1,128k,131072,3.26884,0007_psgdh_core_128k_precond_lr_1p41421356237,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,1.41421356237,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-pcd-128k-20260828_1857:0007_psgdh_core_128k_precond_lr_1p41421356237,0ee8617749c8a8cf,13000,3.26884,13000,run_dir+merlin_meta,2,1,0.5,0,105,1.41421356237,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:e0e1:3cef:31c4:9b35,26.129.183.82,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,6b53251fa762c4f795f3846852c46911,fc841bc0a282578f4f0941205987c29c,1,1,pretraining_psgdh_pcd_128k_r2_centered_soil128_20260828_1857,DONE,13000,13000,405535862,0,packed_manifest,,
2,0.5,0.5,2,0,1,128k,131072,3.27202,0008_psgdh_core_128k_precond_lr_2,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,2,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-pcd-128k-20260828_1857:0008_psgdh_core_128k_precond_lr_2,0ee8617749c8a8cf,13000,3.27202,13000,run_dir+merlin_meta,2,1,0.5,0,105,2,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:e0e1:3cef:31c4:9b35,26.129.183.82,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,6b53251fa762c4f795f3846852c46911,fc841bc0a282578f4f0941205987c29c,1,1,pretraining_psgdh_pcd_128k_r2_centered_soil128_20260828_1857,DONE,13000,13000,405535862,0,packed_manifest,,
2,0.5,0.5,2,0,1,128k,131072,3.26603,0009_psgdh_core_128k_matrix_beta1_om_0p5,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_beta1_om,1,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-pcd-128k-20260828_1857:0009_psgdh_core_128k_matrix_beta1_om_0p5,0ee8617749c8a8cf,13000,3.26603,13000,run_dir+merlin_meta,1,1,0.5,0,105,1,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:e0e1:3cef:31c4:9b35,26.129.183.82,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,6b53251fa762c4f795f3846852c46911,fc841bc0a282578f4f0941205987c29c,1,1,pretraining_psgdh_pcd_128k_r2_centered_soil128_20260828_1857,DONE,13000,13000,405535862,0,packed_manifest,,
