aux_beta1_om_mult,aux_beta2_om_mult,aux_cooldown_frac,aux_lr_mult,aux_wd_peak,base_lr_scale,batch,batch_size,best_val_loss,case_id,cluster_name,code_package_id,container_image,coord,coord_value,data_id,failure_kind,gpuv,hardware_family,hidden_cooldown_frac,job_name,job_run_id,last_step,last_val_loss,last_val_step,log_source,matrix_beta1_om_mult,matrix_beta2_om_mult,matrix_lr_mult,matrix_wd_peak,num_val_points,precond_lr_mult,queue_name,recipe,runtime_cuda_driver,runtime_cuda_toolkit,runtime_device_type,runtime_host_ipv6,runtime_host_primary,runtime_node_spec,runtime_node_vendor,runtime_rdma_bigpod,runtime_rdma_minipod,runtime_rdma_switch,seed,shampoo_beta_om_mult,stamp,status,total_steps,train_steps,trial_id,wd_warmup_frac,wrapper_case_id
1,0.5,0.5,1.41421356237,0,1,2m,2097152,3.37432,0000_psgdh_core_2m_center_1,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,center,center,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,0.8,m14.2-pretraining-psgdh-recovery-2m-20260829_0751:0000_psgdh_core_2m_center_1,bb9af3b9810289f4,813,3.37432,813,run_dir+merlin_meta,2.82842712474,1,1,0,8,1.41421356237,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:3563:6391:51b3:2bfa,26.150.48.34,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,ba3007b91b35acf768a0b88e0d749745,11315c510c45f230fc175f5f3fc9fee4,1,1,pretraining_psgdh_pcd_2m_r6_ladder17_20260829_0751,DONE,813,813,405781297,0,packed_manifest
1,0.5,0.5,1.41421356237,0,1,2m,2097152,3.47169,0001_psgdh_core_2m_matrix_lr_0p5,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,0.5,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,0.8,m14.2-pretraining-psgdh-recovery-2m-20260829_0751:0001_psgdh_core_2m_matrix_lr_0p5,bb9af3b9810289f4,813,3.47169,813,run_dir+merlin_meta,2.82842712474,1,0.5,0,8,1.41421356237,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:3563:6391:51b3:2bfa,26.150.48.34,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,ba3007b91b35acf768a0b88e0d749745,11315c510c45f230fc175f5f3fc9fee4,1,1,pretraining_psgdh_pcd_2m_r6_ladder17_20260829_0751,DONE,813,813,405781297,0,packed_manifest
1,0.5,0.5,1.41421356237,0,1,2m,2097152,3.41521,0002_psgdh_core_2m_matrix_lr_0p707106781187,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,0.707106781187,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,0.8,m14.2-pretraining-psgdh-recovery-2m-20260829_0751:0002_psgdh_core_2m_matrix_lr_0p707106781187,bb9af3b9810289f4,813,3.41521,813,run_dir+merlin_meta,2.82842712474,1,0.707106781187,0,8,1.41421356237,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:3563:6391:51b3:2bfa,26.150.48.34,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,ba3007b91b35acf768a0b88e0d749745,11315c510c45f230fc175f5f3fc9fee4,1,1,pretraining_psgdh_pcd_2m_r6_ladder17_20260829_0751,DONE,813,813,405781297,0,packed_manifest
1,0.5,0.5,1.41421356237,0,1,2m,2097152,3.35726,0003_psgdh_core_2m_matrix_lr_1p41421356237,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,1.41421356237,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,0.8,m14.2-pretraining-psgdh-recovery-2m-20260829_0751:0003_psgdh_core_2m_matrix_lr_1p41421356237,bb9af3b9810289f4,813,3.35726,813,run_dir+merlin_meta,2.82842712474,1,1.41421356237,0,8,1.41421356237,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:3563:6391:51b3:2bfa,26.150.48.34,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,ba3007b91b35acf768a0b88e0d749745,11315c510c45f230fc175f5f3fc9fee4,1,1,pretraining_psgdh_pcd_2m_r6_ladder17_20260829_0751,DONE,813,813,405781297,0,packed_manifest
1,0.5,0.5,1.41421356237,0,1,2m,2097152,3.36213,0004_psgdh_core_2m_matrix_lr_2,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,2,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,0.8,m14.2-pretraining-psgdh-recovery-2m-20260829_0751:0004_psgdh_core_2m_matrix_lr_2,bb9af3b9810289f4,813,3.36213,813,run_dir+merlin_meta,2.82842712474,1,2,0,8,1.41421356237,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:3563:6391:51b3:2bfa,26.150.48.34,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,ba3007b91b35acf768a0b88e0d749745,11315c510c45f230fc175f5f3fc9fee4,1,1,pretraining_psgdh_pcd_2m_r6_ladder17_20260829_0751,DONE,813,813,405781297,0,packed_manifest
1,0.5,0.5,1.41421356237,0,1,2m,2097152,3.39424,0005_psgdh_core_2m_precond_lr_0p5,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,0.707106781185,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,0.8,m14.2-pretraining-psgdh-recovery-2m-20260829_0751:0005_psgdh_core_2m_precond_lr_0p5,bb9af3b9810289f4,813,3.39424,813,run_dir+merlin_meta,2.82842712474,1,1,0,8,0.707106781185,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:3563:6391:51b3:2bfa,26.150.48.34,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,ba3007b91b35acf768a0b88e0d749745,11315c510c45f230fc175f5f3fc9fee4,1,1,pretraining_psgdh_pcd_2m_r6_ladder17_20260829_0751,DONE,813,813,405781297,0,packed_manifest
1,0.5,0.5,1.41421356237,0,1,2m,2097152,3.38561,0006_psgdh_core_2m_precond_lr_0p707106781187,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,0.999999999998,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,0.8,m14.2-pretraining-psgdh-recovery-2m-20260829_0751:0006_psgdh_core_2m_precond_lr_0p707106781187,bb9af3b9810289f4,813,3.38561,813,run_dir+merlin_meta,2.82842712474,1,1,0,8,0.999999999998,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:3563:6391:51b3:2bfa,26.150.48.34,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,ba3007b91b35acf768a0b88e0d749745,11315c510c45f230fc175f5f3fc9fee4,1,1,pretraining_psgdh_pcd_2m_r6_ladder17_20260829_0751,DONE,813,813,405781297,0,packed_manifest
1,0.5,0.5,1.41421356237,0,1,2m,2097152,3.3811,0007_psgdh_core_2m_precond_lr_1p41421356237,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,2,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,0.8,m14.2-pretraining-psgdh-recovery-2m-20260829_0834:0007_psgdh_core_2m_precond_lr_1p41421356237,042b86362680ba99,813,3.3811,813,run_dir+merlin_meta,2.82842712474,1,1,0,8,2,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:75c1:b811:c535:63bf,26.150.32.26,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,ba3007b91b35acf768a0b88e0d749745,677c3b69c5c23aac698c24951fb250a5,1,1,pretraining_psgdh_pcd_2m_r6_isolated2_hedge_b_20260829_0834,DONE,813,813,405800890,0,packed_manifest
1,0.5,0.5,1.41421356237,0,1,2m,2097152,10.98973,0008_psgdh_core_2m_precond_lr_2,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,2.82842712474,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,nan_or_divergence,NVIDIA_H20,H20,0.8,m14.2-pretraining-psgdh-recovery-2m-20260829_0751:0008_psgdh_core_2m_precond_lr_2,bb9af3b9810289f4,813,nan,813,run_dir+merlin_meta,2.82842712474,1,1,0,8,2.82842712474,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:3563:6391:51b3:2bfa,26.150.48.34,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,ba3007b91b35acf768a0b88e0d749745,11315c510c45f230fc175f5f3fc9fee4,1,1,pretraining_psgdh_pcd_2m_r6_ladder17_20260829_0751,DONE,813,813,405781297,0,packed_manifest
1,0.5,0.5,1.41421356237,0,1,2m,2097152,3.35947,0009_psgdh_core_2m_matrix_beta1_om_0p5,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_beta1_om,1.41421356237,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,0.8,m14.2-pretraining-psgdh-recovery-2m-20260829_0751:0009_psgdh_core_2m_matrix_beta1_om_0p5,bb9af3b9810289f4,813,3.35947,813,run_dir+merlin_meta,1.41421356237,1,1,0,8,1.41421356237,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:3563:6391:51b3:2bfa,26.150.48.34,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,ba3007b91b35acf768a0b88e0d749745,11315c510c45f230fc175f5f3fc9fee4,1,1,pretraining_psgdh_pcd_2m_r6_ladder17_20260829_0751,DONE,813,813,405781297,0,packed_manifest
