aux_beta1_om_mult,aux_beta2_om_mult,aux_cooldown_frac,aux_lr_mult,aux_wd_peak,base_lr_scale,batch,batch_size,best_val_loss,case_id,cluster_name,code_package_id,container_image,coord,coord_value,data_id,failure_kind,gpuv,hardware_family,hidden_cooldown_frac,job_name,job_run_id,last_step,last_val_loss,last_val_step,log_source,matrix_beta1_om_mult,matrix_beta2_om_mult,matrix_lr_mult,matrix_wd_peak,num_val_points,precond_lr_mult,queue_name,recipe,runtime_cuda_driver,runtime_cuda_toolkit,runtime_device_type,runtime_host_ipv6,runtime_host_primary,runtime_node_spec,runtime_node_vendor,runtime_rdma_bigpod,runtime_rdma_minipod,runtime_rdma_switch,seed,shampoo_beta_om_mult,stamp,status,total_steps,train_steps,trial_id,wd_warmup_frac,wrapper_case_id
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.31345,0000_psgdh_core_512k_center_1,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,center,center,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,0.6,m14.2-pretraining-psgdh-recovery-512k-20260829_0851:0000_psgdh_core_512k_center_1,f48a6013583aa8c0,3250,3.31345,3250,run_dir+merlin_meta,1,1,1,0,27,1,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:4d8e:f02f:7112:aee1,26.150.27.66,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,ba3007b91b35acf768a0b88e0d749745,394ffa1c74f7aae7ef246aacac6d513c,1,1,pretraining_psgdh_pcd_512k_r6_ladder11_20260829_0851,DONE,3250,3250,405808077,0,packed_manifest
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.28462,0001_psgdh_core_512k_matrix_lr_0p5,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,0.5,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,0.6,m14.2-pretraining-psgdh-recovery-512k-20260829_0904:0001_psgdh_core_512k_matrix_lr_0p5,2ca3aaaf61ecc63c,3250,3.28462,3250,run_dir+merlin_meta,1,1,0.5,0,27,1,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:be0:6a7e:215f:d16c,26.150.3.66,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,ba3007b91b35acf768a0b88e0d749745,62e3b8d1d588e346920b9473d7ae935b,1,1,pretraining_psgdh_pcd_512k_r6_slow6_isolated_hedge_20260829_0904,DONE,3250,3250,405816261,0,packed_manifest
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.28586,0002_psgdh_core_512k_matrix_lr_0p707106781187,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,0.707106781187,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,0.6,m14.2-pretraining-psgdh-recovery-512k-20260829_0851:0002_psgdh_core_512k_matrix_lr_0p707106781187,f48a6013583aa8c0,3250,3.28586,3250,run_dir+merlin_meta,1,1,0.707106781187,0,27,1,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:4d8e:f02f:7112:aee1,26.150.27.66,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,ba3007b91b35acf768a0b88e0d749745,394ffa1c74f7aae7ef246aacac6d513c,1,1,pretraining_psgdh_pcd_512k_r6_ladder11_20260829_0851,DONE,3250,3250,405808077,0,packed_manifest
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.38338,0003_psgdh_core_512k_matrix_lr_1p41421356237,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,1.41421356237,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,0.6,m14.2-pretraining-psgdh-recovery-512k-20260829_0851:0003_psgdh_core_512k_matrix_lr_1p41421356237,f48a6013583aa8c0,3250,3.38338,3250,run_dir+merlin_meta,1,1,1.41421356237,0,27,1,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:4d8e:f02f:7112:aee1,26.150.27.66,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,ba3007b91b35acf768a0b88e0d749745,394ffa1c74f7aae7ef246aacac6d513c,1,1,pretraining_psgdh_pcd_512k_r6_ladder11_20260829_0851,DONE,3250,3250,405808077,0,packed_manifest
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.47672,0004_psgdh_core_512k_matrix_lr_2,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,2,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,0.6,m14.2-pretraining-psgdh-recovery-512k-20260829_0851:0004_psgdh_core_512k_matrix_lr_2,f48a6013583aa8c0,3250,3.47672,3250,run_dir+merlin_meta,1,1,2,0,27,1,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:4d8e:f02f:7112:aee1,26.150.27.66,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,ba3007b91b35acf768a0b88e0d749745,394ffa1c74f7aae7ef246aacac6d513c,1,1,pretraining_psgdh_pcd_512k_r6_ladder11_20260829_0851,DONE,3250,3250,405808077,0,packed_manifest
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.32485,0005_psgdh_core_512k_precond_lr_0p5,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,0.5,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,0.6,m14.2-pretraining-psgdh-recovery-512k-20260829_0851:0005_psgdh_core_512k_precond_lr_0p5,f48a6013583aa8c0,3250,3.32485,3250,run_dir+merlin_meta,1,1,1,0,27,0.5,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:4d8e:f02f:7112:aee1,26.150.27.66,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,ba3007b91b35acf768a0b88e0d749745,394ffa1c74f7aae7ef246aacac6d513c,1,1,pretraining_psgdh_pcd_512k_r6_ladder11_20260829_0851,DONE,3250,3250,405808077,0,packed_manifest
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.31738,0006_psgdh_core_512k_precond_lr_0p707106781187,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,0.707106781187,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,0.6,m14.2-pretraining-psgdh-recovery-512k-20260829_0851:0006_psgdh_core_512k_precond_lr_0p707106781187,f48a6013583aa8c0,3250,3.31738,3250,run_dir+merlin_meta,1,1,1,0,27,0.707106781187,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:4d8e:f02f:7112:aee1,26.150.27.66,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,ba3007b91b35acf768a0b88e0d749745,394ffa1c74f7aae7ef246aacac6d513c,1,1,pretraining_psgdh_pcd_512k_r6_ladder11_20260829_0851,DONE,3250,3250,405808077,0,packed_manifest
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.31137,0007_psgdh_core_512k_precond_lr_1p41421356237,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,1.41421356237,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,0.6,m14.2-pretraining-psgdh-recovery-512k-20260829_0851:0007_psgdh_core_512k_precond_lr_1p41421356237,f48a6013583aa8c0,3250,3.31137,3250,run_dir+merlin_meta,1,1,1,0,27,1.41421356237,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:4d8e:f02f:7112:aee1,26.150.27.66,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,ba3007b91b35acf768a0b88e0d749745,394ffa1c74f7aae7ef246aacac6d513c,1,1,pretraining_psgdh_pcd_512k_r6_ladder11_20260829_0851,DONE,3250,3250,405808077,0,packed_manifest
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.30628,0008_psgdh_core_512k_precond_lr_2,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,2,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,0.6,m14.2-pretraining-psgdh-recovery-512k-20260829_0851:0008_psgdh_core_512k_precond_lr_2,f48a6013583aa8c0,3250,3.30628,3250,run_dir+merlin_meta,1,1,1,0,27,2,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:4d8e:f02f:7112:aee1,26.150.27.66,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,ba3007b91b35acf768a0b88e0d749745,394ffa1c74f7aae7ef246aacac6d513c,1,1,pretraining_psgdh_pcd_512k_r6_ladder11_20260829_0851,DONE,3250,3250,405808077,0,packed_manifest
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.35438,0009_psgdh_core_512k_matrix_beta1_om_0p5,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_beta1_om,0.5,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,0.6,m14.2-pretraining-psgdh-recovery-512k-20260829_0851:0009_psgdh_core_512k_matrix_beta1_om_0p5,f48a6013583aa8c0,3250,3.35438,3250,run_dir+merlin_meta,0.5,1,1,0,27,1,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,12.8,12.8,NVIDIA-H20,2605:340:cd51:7700:4d8e:f02f:7112:aee1,26.150.27.66,ecs.hpcpni3ln.45xlarge,volcengine,hpcCluster-yecd0gve6pioxhtqvap6,ba3007b91b35acf768a0b88e0d749745,394ffa1c74f7aae7ef246aacac6d513c,1,1,pretraining_psgdh_pcd_512k_r6_ladder11_20260829_0851,DONE,3250,3250,405808077,0,packed_manifest
