aux_beta1_om_mult,aux_beta2_om_mult,aux_cooldown_frac,aux_lr_mult,aux_wd_peak,base_lr_scale,batch,batch_size,best_val_loss,case_id,cluster_name,code_package_id,container_image,coord,coord_value,data_id,failure_kind,gpuv,hardware_family,hidden_cooldown_frac,job_name,job_run_id,last_step,last_val_loss,last_val_step,log_source,matrix_beta1_om_mult,matrix_beta2_om_mult,matrix_lr_mult,matrix_wd_peak,num_val_points,precond_lr_mult,queue_name,recipe,runtime_cuda_driver,runtime_cuda_toolkit,runtime_device_type,runtime_host_ipv6,runtime_host_primary,runtime_node_spec,runtime_node_vendor,runtime_rdma_bigpod,runtime_rdma_minipod,runtime_rdma_switch,seed,shampoo_beta_om_mult,stamp,status,total_steps,train_steps,trial_id,wd_warmup_frac,wrapper_case_id,terminal_evidence,terminal_evidence_host
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.27797,0000_psgdh_core_512k_center_1,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,center,center,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-recovery-512k-20260829_0932:0000_psgdh_core_512k_center_1,788d46b183d501fc,3250,3.27797,3250,merlin_strict_terminal,2,1,1,0,1,2,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,,,,,,,,,,,1,1,pretraining_psgdh_pcd_512k_r7_shard00_07_opti8_20260829_0932,DONE,3250,3250,405822424,0,packed_manifest,case_end_done_exit0_persisted1,g340-cd51-7700-3f16-c40f-d90f-3a8e
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.32076,0001_psgdh_core_512k_matrix_lr_0p5,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,0.5,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-recovery-512k-20260829_0932:0001_psgdh_core_512k_matrix_lr_0p5,788d46b183d501fc,3250,3.32076,3250,merlin_strict_terminal,2,1,0.5,0,1,2,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,,,,,,,,,,,1,1,pretraining_psgdh_pcd_512k_r7_shard00_07_opti8_20260829_0932,DONE,3250,3250,405822424,0,packed_manifest,case_end_done_exit0_persisted1,g340-cd51-7700-2e57-35da-4397-3b6
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.29059,0002_psgdh_core_512k_matrix_lr_0p707106781187,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,0.707106781187,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-recovery-512k-20260829_0932:0002_psgdh_core_512k_matrix_lr_0p707106781187,788d46b183d501fc,3250,3.29059,3250,merlin_strict_terminal,2,1,0.707106781187,0,1,2,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,,,,,,,,,,,1,1,pretraining_psgdh_pcd_512k_r7_shard00_07_opti8_20260829_0932,DONE,3250,3250,405822424,0,packed_manifest,case_end_done_exit0_persisted1,g340-cd51-7700-1e78-816a-fa79-a60
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.28244,0003_psgdh_core_512k_matrix_lr_1p41421356237,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,1.41421356237,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-recovery-512k-20260829_0932:0003_psgdh_core_512k_matrix_lr_1p41421356237,788d46b183d501fc,3250,3.28244,3250,merlin_strict_terminal,2,1,1.41421356237,0,1,2,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,,,,,,,,,,,1,1,pretraining_psgdh_pcd_512k_r7_shard00_07_opti8_20260829_0932,DONE,3250,3250,405822424,0,packed_manifest,case_end_done_exit0_persisted1,g340-cd51-7700-ab8e-8b31-50d9-9521
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.31528,0004_psgdh_core_512k_matrix_lr_2,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,2,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-recovery-512k-20260829_0932:0004_psgdh_core_512k_matrix_lr_2,788d46b183d501fc,3250,3.31528,3250,merlin_strict_terminal,2,1,2,0,1,2,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,,,,,,,,,,,1,1,pretraining_psgdh_pcd_512k_r7_shard00_07_opti8_20260829_0932,DONE,3250,3250,405822424,0,packed_manifest,case_end_done_exit0_persisted1,g340-cd51-7700-fdce-d718-1232-e231
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.27472,0005_psgdh_core_512k_precond_lr_0p5,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,1,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-recovery-512k-20260829_1010:0005_psgdh_core_512k_precond_lr_0p5,8e6bb6fc582f0f94,3250,3.27472,3250,merlin_strict_terminal,2,1,1,0,1,1,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,,,,,,,,,,,1,1,pretraining_psgdh_pcd_512k_r7_slow6_shared_hedge_20260829_1010,DONE,3250,3250,405831098,0,packed_manifest,case_end_done_exit0_persisted1,g340-cd51-7700-d584-49a3-69e4-2bea
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.27561,0006_psgdh_core_512k_precond_lr_0p707106781187,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,1.41421356237,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-recovery-512k-20260829_0932:0006_psgdh_core_512k_precond_lr_0p707106781187,788d46b183d501fc,3250,3.27561,3250,merlin_strict_terminal,2,1,1,0,1,1.41421356237,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,,,,,,,,,,,1,1,pretraining_psgdh_pcd_512k_r7_shard00_07_opti8_20260829_0932,DONE,3250,3250,405822424,0,packed_manifest,case_end_done_exit0_persisted1,g340-cd51-7700-536e-61e7-a87f-665c
1,0.5,0.5,1.41421356237,0,1,512k,524288,,0007_psgdh_core_512k_precond_lr_1p41421356237,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,2.82842712475,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,nan_or_divergence,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-recovery-512k-20260829_1010:0007_psgdh_core_512k_precond_lr_1p41421356237,8e6bb6fc582f0f94,3250,,3250,merlin_strict_terminal,2,1,1,0,0,2.82842712475,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,,,,,,,,,,,1,1,pretraining_psgdh_pcd_512k_r7_slow6_shared_hedge_20260829_1010,DONE,3250,3250,405831098,0,packed_manifest,case_end_done_exit0_persisted1,g340-cd51-7700-3a80-fba1-b228-4dd4
1,0.5,0.5,1.41421356237,0,1,512k,524288,,0008_psgdh_core_512k_precond_lr_2,palm-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,4,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,nan_or_divergence,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-recovery-512k-20260829_1000:0008_psgdh_core_512k_precond_lr_2,a16853c8cffe5e7e,3250,,3250,merlin_strict_terminal,2,1,1,0,0,4,nvidia-h20.hpccluster-yeczp69l8fadlu4icwhx.ai,psgdh_core,,,,,,,,,,,1,1,pretraining_psgdh_pcd_512k_r7_shard08_17_eval10_20260829_1000,DONE,3250,3250,405829716,0,packed_manifest,case_end_done_exit0_persisted1,g340-cd51-7700-eba6-54f2-c98e-e0eb
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.27895,0009_psgdh_core_512k_matrix_beta1_om_0p5,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_beta1_om,1,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-recovery-512k-20260829_1015:0009_psgdh_core_512k_matrix_beta1_om_0p5,3e8be4a4a6365b13,3250,3.27895,3250,merlin_strict_terminal,1,1,1,0,1,2,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,,,,,,,,,,,1,1,pretraining_psgdh_pcd_512k_r7_key4_exp_hedge_20260829_1015,DONE,3250,3250,405831976,0,packed_manifest,case_end_done_exit0_persisted1,g340-cd51-7700-3999-94a7-466e-8c79
