aux_beta1_om_mult,aux_beta2_om_mult,aux_cooldown_frac,aux_lr_mult,aux_wd_peak,base_lr_scale,batch,batch_size,best_val_loss,case_id,cluster_name,code_package_id,container_image,coord,coord_value,data_id,failure_kind,gpuv,hardware_family,hidden_cooldown_frac,job_name,job_run_id,last_step,last_val_loss,last_val_step,log_source,matrix_beta1_om_mult,matrix_beta2_om_mult,matrix_lr_mult,matrix_wd_peak,num_val_points,precond_lr_mult,queue_name,recipe,runtime_cuda_driver,runtime_cuda_toolkit,runtime_device_type,runtime_host_ipv6,runtime_host_primary,runtime_node_spec,runtime_node_vendor,runtime_rdma_bigpod,runtime_rdma_minipod,runtime_rdma_switch,seed,shampoo_beta_om_mult,stamp,status,total_steps,train_steps,trial_id,wd_warmup_frac,wrapper_case_id,terminal_evidence,terminal_evidence_host
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.2737,0000_psgdh_core_512k_center_1,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,center,center,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-recovery-512k-20260829_1106:0000_psgdh_core_512k_center_1,e63ffffe0df9b5b6,3250,3.2737,3250,merlin_strict_terminal,2,1,1,0,1,1,nvidia-h20.hpccluster-yemquj3rpbglta7e504r.ai,psgdh_core,,,,,,,,,,,1,1,pretraining_psgdh_pcd_512k_r8_shard00_07_code64_20260829_1106,DONE,3250,3250,405844163,0,packed_manifest,case_end_done_exit0_persisted1,g340-cd51-7703-4f2f-30ac-c0ff-bb9b
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.31207,0001_psgdh_core_512k_matrix_lr_0p5,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,0.5,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-recovery-512k-20260829_1106:0001_psgdh_core_512k_matrix_lr_0p5,e63ffffe0df9b5b6,3250,3.31207,3250,merlin_strict_terminal,2,1,0.5,0,1,1,nvidia-h20.hpccluster-yemquj3rpbglta7e504r.ai,psgdh_core,,,,,,,,,,,1,1,pretraining_psgdh_pcd_512k_r8_shard00_07_code64_20260829_1106,DONE,3250,3250,405844163,0,packed_manifest,case_end_done_exit0_persisted1,g340-cd51-7703-3186-765a-ab77-98e4
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.28441,0002_psgdh_core_512k_matrix_lr_0p707106781187,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,0.707106781187,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-recovery-512k-20260829_1106:0002_psgdh_core_512k_matrix_lr_0p707106781187,e63ffffe0df9b5b6,3250,3.28441,3250,merlin_strict_terminal,2,1,0.707106781187,0,1,1,nvidia-h20.hpccluster-yemquj3rpbglta7e504r.ai,psgdh_core,,,,,,,,,,,1,1,pretraining_psgdh_pcd_512k_r8_shard00_07_code64_20260829_1106,DONE,3250,3250,405844163,0,packed_manifest,case_end_done_exit0_persisted1,g340-cd51-7703-520-69bb-c4fc-7490
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.28202,0003_psgdh_core_512k_matrix_lr_1p41421356237,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,1.41421356237,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-recovery-512k-20260829_1106:0003_psgdh_core_512k_matrix_lr_1p41421356237,e63ffffe0df9b5b6,3250,3.28202,3250,merlin_strict_terminal,2,1,1.41421356237,0,1,1,nvidia-h20.hpccluster-yemquj3rpbglta7e504r.ai,psgdh_core,,,,,,,,,,,1,1,pretraining_psgdh_pcd_512k_r8_shard00_07_code64_20260829_1106,DONE,3250,3250,405844163,0,packed_manifest,case_end_done_exit0_persisted1,g340-cd51-7703-df0-17da-4b8c-eca
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.32295,0004_psgdh_core_512k_matrix_lr_2,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_lr,2,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-recovery-512k-20260829_1106:0004_psgdh_core_512k_matrix_lr_2,e63ffffe0df9b5b6,3250,3.32295,3250,merlin_strict_terminal,2,1,2,0,1,1,nvidia-h20.hpccluster-yemquj3rpbglta7e504r.ai,psgdh_core,,,,,,,,,,,1,1,pretraining_psgdh_pcd_512k_r8_shard00_07_code64_20260829_1106,DONE,3250,3250,405844163,0,packed_manifest,case_end_done_exit0_persisted1,g340-cd51-7703-14c-656a-478a-7cb5
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.27748,0005_psgdh_core_512k_precond_lr_0p5,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,0.5,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-recovery-512k-20260829_1106:0005_psgdh_core_512k_precond_lr_0p5,e63ffffe0df9b5b6,3250,3.27748,3250,merlin_strict_terminal,2,1,1,0,1,0.5,nvidia-h20.hpccluster-yemquj3rpbglta7e504r.ai,psgdh_core,,,,,,,,,,,1,1,pretraining_psgdh_pcd_512k_r8_shard00_07_code64_20260829_1106,DONE,3250,3250,405844163,0,packed_manifest,case_end_done_exit0_persisted1,g340-cd51-7703-9a07-f582-7ee9-ec8c
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.27682,0006_psgdh_core_512k_precond_lr_0p707106781187,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,0.707106781187,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-recovery-512k-20260829_1106:0006_psgdh_core_512k_precond_lr_0p707106781187,e63ffffe0df9b5b6,3250,3.27682,3250,merlin_strict_terminal,2,1,1,0,1,0.707106781187,nvidia-h20.hpccluster-yemquj3rpbglta7e504r.ai,psgdh_core,,,,,,,,,,,1,1,pretraining_psgdh_pcd_512k_r8_shard00_07_code64_20260829_1106,DONE,3250,3250,405844163,0,packed_manifest,case_end_done_exit0_persisted1,g340-cd51-7703-8e09-4f6d-df54-f35e
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.27467,0007_psgdh_core_512k_precond_lr_1p41421356237,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,1.41421356237,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-recovery-512k-20260829_1147:0007_psgdh_core_512k_precond_lr_1p41421356237,1199b3b39513f17c,3250,3.27467,3250,merlin_strict_terminal,2,1,1,0,1,1.41421356237,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,,,,,,,,,,,1,1,pretraining_psgdh_pcd_512k_r8_compiletail_a_ladder40_20260829_1147,DONE,3250,3250,405855763,0,packed_manifest,case_end_done_exit0_persisted1,g340-cd51-7700-d1f7-3a6-95d8-e552
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.27754,0008_psgdh_core_512k_precond_lr_2,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,precond_lr,2,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-recovery-512k-20260829_1107:0008_psgdh_core_512k_precond_lr_2,b7d75d8f31961292,3250,3.27754,3250,merlin_strict_terminal,2,1,1,0,1,2,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,,,,,,,,,,,1,1,pretraining_psgdh_pcd_512k_r8_shard08_11_ladder32_20260829_1107,DONE,3250,3250,405844344,0,packed_manifest,case_end_done_exit0_persisted1,g340-cd51-7700-6f72-9d89-6c97-bca4
1,0.5,0.5,1.41421356237,0,1,512k,524288,3.27962,0009_psgdh_core_512k_matrix_beta1_om_0p5,soil-wlby,,hub.byted.org/reckon/data.reckon.mlx.image_11319:50545093b9947634c8247599da45c75e,matrix_beta1_om,1,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/modded-nanogpt/data/fineweb10B,,NVIDIA_H20,H20,1,m14.2-pretraining-psgdh-recovery-512k-20260829_1107:0009_psgdh_core_512k_matrix_beta1_om_0p5,b7d75d8f31961292,3250,3.27962,3250,merlin_strict_terminal,1,1,1,0,1,1,nvidia-h20.hpccluster-yecd0gve6pioxhtqvap6.ai,psgdh_core,,,,,,,,,,,1,1,pretraining_psgdh_pcd_512k_r8_shard08_11_ladder32_20260829_1107,DONE,3250,3250,405844344,0,packed_manifest,case_end_done_exit0_persisted1,g340-cd51-7700-6e65-2631-f6f5-8dc9
